# NE_LO   sin2theta_W   A(s)   dchi2
    2    1.966667E-02    6.540739E-02    4.668082E+03
    3    1.966667E-02    6.540739E-02    3.529304E+03
    4    1.966667E-02    6.540739E-02    2.683865E+03
    1    1.983333E-02    6.569755E-02    6.392046E+03
    2    1.983333E-02    6.569755E-02    4.665184E+03
    3    1.983333E-02    6.569755E-02    3.527112E+03
    4    1.983333E-02    6.569755E-02    2.682199E+03
    1    2.000000E-02    6.598835E-02    6.388067E+03
    2    2.000000E-02    6.598835E-02    4.662280E+03
    3    2.000000E-02    6.598835E-02    3.524917E+03
    4    2.000000E-02    6.598835E-02    2.680529E+03
    1    2.016667E-02    6.627980E-02    6.384081E+03
    2    2.016667E-02    6.627980E-02    4.659371E+03
    3    2.016667E-02    6.627980E-02    3.522718E+03
    4    2.016667E-02    6.627980E-02    2.678857E+03
    1    2.033333E-02    6.657189E-02    6.380088E+03
    2    2.033333E-02    6.657189E-02    4.656456E+03
    3    2.033333E-02    6.657189E-02    3.520514E+03
    4    2.033333E-02    6.657189E-02    2.677181E+03
    1    2.050000E-02    6.686462E-02    6.376087E+03
    2    2.050000E-02    6.686462E-02    4.653536E+03
    3    2.050000E-02    6.686462E-02    3.518306E+03
    4    2.050000E-02    6.686462E-02    2.675502E+03
    1    2.066667E-02    6.715799E-02    6.372078E+03
    2    2.066667E-02    6.715799E-02    4.650610E+03
    3    2.066667E-02    6.715799E-02    3.516094E+03
    4    2.066667E-02    6.715799E-02    2.673820E+03
    1    2.083333E-02    6.745201E-02    6.368062E+03
    2    2.083333E-02    6.745201E-02    4.647679E+03
    3    2.083333E-02    6.745201E-02    3.513878E+03
    4    2.083333E-02    6.745201E-02    2.672135E+03
    1    2.100000E-02    6.774666E-02    6.364038E+03
    2    2.100000E-02    6.774666E-02    4.644743E+03
    3    2.100000E-02    6.774666E-02    3.511658E+03
    4    2.100000E-02    6.774666E-02    2.670446E+03
    1    2.116667E-02    6.804196E-02    6.360007E+03
    2    2.116667E-02    6.804196E-02    4.641801E+03
    3    2.116667E-02    6.804196E-02    3.509434E+03
    4    2.116667E-02    6.804196E-02    2.668755E+03
