# Templates de respuesta RED-100 (Interpolacion PCHIP)
# Bloques: N_puntos
5000
4.914983E+01 5.687185E-05
4.920984E+01 5.505877E-05
4.926985E+01 5.329865E-05
4.932987E+01 5.159018E-05
4.938988E+01 4.993202E-05
4.944989E+01 4.832290E-05
4.950990E+01 4.676155E-05
4.956991E+01 4.524674E-05
4.962993E+01 4.377725E-05
4.968994E+01 4.235188E-05
4.974995E+01 4.096949E-05
4.980996E+01 3.962891E-05
4.986997E+01 3.832905E-05
4.992999E+01 3.706879E-05
4.999000E+01 3.584708E-05
5.005001E+01 3.466286E-05
5.011002E+01 3.351511E-05
5.017003E+01 3.240283E-05
5.023005E+01 3.132503E-05
5.029006E+01 3.028076E-05
5.035007E+01 2.926909E-05
5.041008E+01 2.828909E-05
5.047009E+01 2.733987E-05
5.053011E+01 2.642057E-05
5.059012E+01 2.553033E-05
5.065013E+01 2.466831E-05
5.071014E+01 2.383371E-05
5.077015E+01 2.302573E-05
5.083017E+01 2.224360E-05
5.089018E+01 2.148656E-05
5.095019E+01 2.075389E-05
5.101020E+01 2.004486E-05
5.107021E+01 1.935878E-05
5.113023E+01 1.869496E-05
5.119024E+01 1.805274E-05
5.125025E+01 1.743148E-05
5.131026E+01 1.683054E-05
5.137027E+01 1.624931E-05
5.143029E+01 1.568719E-05
