# NE_LO   sin2theta_W   A(s)   dchi2
    1    1.633333E-02    1.266875E-01    1.615689E+03
    2    1.633333E-02    1.266875E-01    3.133863E+02
    3    1.633333E-02    1.266875E-01    5.451376E+01
    4    1.633333E-02    1.266875E-01    9.265785E+00
    1    1.650000E-02    1.270316E-01    1.614416E+03
    2    1.650000E-02    1.270316E-01    3.131394E+02
    3    1.650000E-02    1.270316E-01    5.447082E+01
    4    1.650000E-02    1.270316E-01    9.258485E+00
    1    1.666667E-02    1.273761E-01    1.613142E+03
    2    1.666667E-02    1.273761E-01    3.128923E+02
    3    1.666667E-02    1.273761E-01    5.442783E+01
    4    1.666667E-02    1.273761E-01    9.251178E+00
    1    1.683333E-02    1.277211E-01    1.611866E+03
    2    1.683333E-02    1.277211E-01    3.126449E+02
    3    1.683333E-02    1.277211E-01    5.438480E+01
    4    1.683333E-02    1.277211E-01    9.243864E+00
    1    1.700000E-02    1.280666E-01    1.610590E+03
    2    1.700000E-02    1.280666E-01    3.123973E+02
    3    1.700000E-02    1.280666E-01    5.434173E+01
    4    1.700000E-02    1.280666E-01    9.236543E+00
    1    1.716667E-02    1.284125E-01    1.609312E+03
    2    1.716667E-02    1.284125E-01    3.121494E+02
    3    1.716667E-02    1.284125E-01    5.429861E+01
    4    1.716667E-02    1.284125E-01    9.229215E+00
    1    1.733333E-02    1.287590E-01    1.608033E+03
    2    1.733333E-02    1.287590E-01    3.119014E+02
    3    1.733333E-02    1.287590E-01    5.425546E+01
    4    1.733333E-02    1.287590E-01    9.221881E+00
    1    1.750000E-02    1.291058E-01    1.606753E+03
    2    1.750000E-02    1.291058E-01    3.116531E+02
    3    1.750000E-02    1.291058E-01    5.421227E+01
    4    1.750000E-02    1.291058E-01    9.214539E+00
    1    1.766667E-02    1.294532E-01    1.605472E+03
    2    1.766667E-02    1.294532E-01    3.114045E+02
    3    1.766667E-02    1.294532E-01    5.416903E+01
    4    1.766667E-02    1.294532E-01    9.207190E+00
    1    1.783333E-02    1.298010E-01    1.604189E+03
    2    1.783333E-02    1.298010E-01    3.111557E+02
    3    1.783333E-02    1.298010E-01    5.412576E+01
    4    1.783333E-02    1.298010E-01    9.199834E+00
    1    1.800000E-02    1.301493E-01    1.602905E+03
    2    1.800000E-02    1.301493E-01    3.109067E+02
    3    1.800000E-02    1.301493E-01    5.408244E+01
    4    1.800000E-02    1.301493E-01    9.192472E+00
    1    1.816667E-02    1.304980E-01    1.601620E+03
    2    1.816667E-02    1.304980E-01    3.106575E+02
