# sin2theta_W    chi2
  0.195057        8.4376
  0.195220        8.4312
  0.195383        8.4247
  0.195547        8.4183
  0.195710        8.4119
  0.195873        8.4055
  0.196037        8.3992
  0.196200        8.3928
  0.196363        8.3865
  0.196527        8.3802
  0.196690        8.3739
  0.196853        8.3676
  0.197017        8.3614
  0.197180        8.3551
  0.197343        8.3489
  0.197507        8.3427
  0.197670        8.3365
  0.197833        8.3303
  0.197997        8.3242
  0.198160        8.3180
  0.198323        8.3119
  0.198487        8.3058
  0.198650        8.2997
  0.198813        8.2937
  0.198977        8.2876
  0.199140        8.2816
  0.199303        8.2756
  0.199467        8.2696
  0.199630        8.2636
  0.199793        8.2577
  0.199957        8.2517
  0.200120        8.2458
  0.200283        8.2399
  0.200447        8.2340
  0.200610        8.2281
  0.200773        8.2223
  0.200937        8.2165
  0.201100        8.2107
  0.201263        8.2049
  0.201427        8.1991
  0.201590        8.1933
  0.201753        8.1876
  0.201917        8.1819
  0.202080        8.1762
  0.202243        8.1705
  0.202407        8.1648
  0.202570        8.1591
  0.202733        8.1535
  0.202897        8.1479
  0.203060        8.1423
  0.203223        8.1367
  0.203387        8.1312
  0.203550        8.1256
  0.203713        8.1201
  0.203877        8.1146
  0.204040        8.1091
  0.204203        8.1037
  0.204367        8.0982
  0.204530        8.0928
  0.204693        8.0874
  0.204857        8.0820
  0.205020        8.0766
  0.205183        8.0712
  0.205347        8.0659
  0.205510        8.0606
  0.205673        8.0553
  0.205837        8.0500
  0.206000        8.0447
  0.206163        8.0395
  0.206327        8.0343
  0.206490        8.0291
  0.206653        8.0239
  0.206817        8.0187
  0.206980        8.0136
  0.207143        8.0084
  0.207307        8.0033
  0.207470        7.9982
  0.207633        7.9931
  0.207797        7.9881
  0.207960        7.9831
  0.208123        7.9780
  0.208287        7.9730
  0.208450        7.9681
  0.208613        7.9631
  0.208777        7.9582
  0.208940        7.9532
  0.209103        7.9483
  0.209267        7.9434
  0.209430        7.9386
  0.209593        7.9337
  0.209757        7.9289
  0.209920        7.9241
  0.210083        7.9193
  0.210247        7.9145
  0.210410        7.9098
  0.210573        7.9050
  0.210737        7.9003
  0.210900        7.8956
  0.211063        7.8910
  0.211227        7.8863
  0.211390        7.8817
  0.211553        7.8771
  0.211717        7.8725
  0.211880        7.8679
  0.212043        7.8633
  0.212207        7.8588
  0.212370        7.8543
  0.212533        7.8498
  0.212697        7.8453
  0.212860        7.8408
  0.213023        7.8364
  0.213187        7.8319
  0.213350        7.8275
  0.213513        7.8232
  0.213677        7.8188
  0.213840        7.8144
  0.214003        7.8101
  0.214167        7.8058
  0.214330        7.8015
  0.214493        7.7972
  0.214657        7.7930
  0.214820        7.7888
  0.214983        7.7846
  0.215147        7.7804
  0.215310        7.7762
  0.215473        7.7721
  0.215637        7.7679
  0.215800        7.7638
  0.215963        7.7597
  0.216127        7.7556
  0.216290        7.7516
  0.216453        7.7476
