# PE_center   Total   1SE   2SE   3SE   4SE   5SE   6SE   7SE
   927.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
   932.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
   937.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
   942.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
   947.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
   952.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
   957.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
   962.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
   967.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
   972.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
   977.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
   982.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
   987.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
   992.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
   997.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
  1002.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
  1007.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
  1012.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
