# Tabla NEST para RED-100
# Xe NR, rho=2.96 g/cm3, E_drift=218.0 V/cm, NEST 2.4.5
# F estimado con 20000 muestras de GetQuanta por energia
# T_nr[keV]   Qy[e-/keV]   F=Var(Ne)/<Ne>
# N_puntos = 4000
2.238960   7.043456   0.447618
2.241910   7.043083   0.443791
2.244861   7.042709   0.442410
2.247812   7.042333   0.452867
2.250763   7.041956   0.443510
2.253713   7.041578   0.448049
2.256664   7.041199   0.442151
2.259615   7.040819   0.447228
2.262566   7.040438   0.451045
2.265516   7.040056   0.450170
2.268467   7.039673   0.446203
2.271418   7.039289   0.447057
2.274369   7.038903   0.446761
2.277319   7.038517   0.449248
2.280270   7.038130   0.442990
2.283221   7.037741   0.443338
2.286172   7.037352   0.443032
2.289122   7.036961   0.444523
2.292073   7.036570   0.450161
2.295024   7.036177   0.448161
2.297974   7.035784   0.454571
2.300925   7.035389   0.450138
2.303876   7.034994   0.448794
2.306827   7.034597   0.446547
2.309777   7.034200   0.439135
2.312728   7.033802   0.446179
2.315679   7.033402   0.442649
2.318630   7.033002   0.442664
2.321580   7.032601   0.450105
2.324531   7.032199   0.449756
2.327482   7.031795   0.443826
2.330433   7.031391   0.444805
2.333383   7.030986   0.449387
2.336334   7.030580   0.450742
2.339285   7.030174   0.443710
2.342236   7.029766   0.439555
2.345186   7.029357   0.448186
2.348137   7.028947   0.452647
2.351088   7.028537   0.447707
2.354039   7.028126   0.456053
2.356989   7.027713   0.445424
2.359940   7.027300   0.447934
2.362891   7.026886   0.453687
2.365841   7.026471   0.445881
2.368792   7.026056   0.449336
2.371743   7.025639   0.446634
2.374694   7.025222   0.445307
2.377644   7.024803   0.444521
2.380595   7.024384   0.447748
2.383546   7.023964   0.439060
2.386497   7.023543   0.444256
2.389447   7.023122   0.451551
2.392398   7.022699   0.447869
2.395349   7.022276   0.452871
2.398300   7.021852   0.452711
2.401250   7.021427   0.455795
2.404201   7.021001   0.442576
2.407152   7.020574   0.456276
2.410103   7.020147   0.447365
2.413053   7.019719   0.452048
2.416004   7.019290   0.467985
2.418955   7.018860   0.448740
2.421905   7.018430   0.461033
2.424856   7.017998   0.446633
2.427807   7.017566   0.445224
2.430758   7.017134   0.451840
2.433708   7.016700   0.446034
2.436659   7.016266   0.448809
2.439610   7.015831   0.449846
2.442561   7.015395   0.458692
2.445511   7.014958   0.455697
2.448462   7.014521   0.457876
2.451413   7.014083   0.451466
2.454364   7.013644   0.454539
2.457314   7.013205   0.456347
2.460265   7.012765   0.445793
2.463216   7.012324   0.450528
2.466167   7.011882   0.450451
2.469117   7.011440   0.448069
2.472068   7.010997   0.455534
2.475019   7.010553   0.448825
2.477969   7.010109   0.458105
2.480920   7.009664   0.458347
2.483871   7.009218   0.456659
2.486822   7.008771   0.454888
2.489772   7.008324   0.444932
2.492723   7.007876   0.448923
2.495674   7.007428   0.455666
2.498625   7.006979   0.462157
2.501575   7.006529   0.454693
2.504526   7.006078   0.449794
2.507477   7.005627   0.449513
2.510428   7.005175   0.456885
2.513378   7.004723   0.449889
2.516329   7.004270   0.465061
2.519280   7.003816   0.454278
2.522231   7.003362   0.453568
2.525181   7.002907   0.452075
2.528132   7.002451   0.447832
2.531083   7.001995   0.451492
2.534034   7.001538   0.450804
2.536984   7.001081   0.444585
2.539935   7.000622   0.457332
2.542886   7.000164   0.455413
2.545836   6.999704   0.451382
2.548787   6.999244   0.456234
2.551738   6.998784   0.452558
2.554689   6.998323   0.462121
2.557639   6.997861   0.460360
2.560590   6.997399   0.450903
2.563541   6.996936   0.449659
2.566492   6.996473   0.455651
2.569442   6.996008   0.454970
2.572393   6.995544   0.451570
2.575344   6.995079   0.457473
2.578295   6.994613   0.461742
2.581245   6.994147   0.453255
2.584196   6.993680   0.457812
2.587147   6.993212   0.459671
2.590098   6.992744   0.455395
2.593048   6.992276   0.451631
2.595999   6.991807   0.467097
2.598950   6.991337   0.459283
2.601900   6.990867   0.459131
2.604851   6.990396   0.459049
2.607802   6.989925   0.449446
2.610753   6.989453   0.455007
2.613703   6.988981   0.457316
2.616654   6.988508   0.458152
2.619605   6.988035   0.453419
2.622556   6.987561   0.454283
2.625506   6.987086   0.458250
2.628457   6.986611   0.457073
2.631408   6.986136   0.453329
2.634359   6.985660   0.456827
2.637309   6.985184   0.455138
2.640260   6.984707   0.462759
2.643211   6.984229   0.457778
2.646162   6.983751   0.455991
2.649112   6.983273   0.462312
2.652063   6.982794   0.463437
2.655014   6.982315   0.451756
2.657964   6.981835   0.453425
2.660915   6.981355   0.456633
2.663866   6.980874   0.453749
2.666817   6.980392   0.455259
2.669767   6.979911   0.456578
2.672718   6.979428   0.461023
2.675669   6.978946   0.450939
2.678620   6.978462   0.453056
2.681570   6.977979   0.461493
2.684521   6.977495   0.463531
2.687472   6.977010   0.456674
2.690423   6.976525   0.459201
2.693373   6.976040   0.458714
2.696324   6.975554   0.458727
2.699275   6.975068   0.458704
2.702226   6.974581   0.463093
2.705176   6.974094   0.465543
2.708127   6.973606   0.459642
2.711078   6.973118   0.454592
2.714029   6.972629   0.458947
2.716979   6.972140   0.462427
2.719930   6.971651   0.464368
2.722881   6.971161   0.459608
2.725831   6.970671   0.463704
2.728782   6.970180   0.457646
2.731733   6.969689   0.464100
2.734684   6.969198   0.462524
2.737634   6.968706   0.462979
2.740585   6.968214   0.464497
2.743536   6.967721   0.457848
2.746487   6.967228   0.457987
2.749437   6.966734   0.452687
2.752388   6.966240   0.451812
2.755339   6.965746   0.465189
2.758290   6.965251   0.464118
2.761240   6.964756   0.464734
2.764191   6.964261   0.466057
2.767142   6.963765   0.461418
2.770093   6.963269   0.460034
2.773043   6.962772   0.465402
2.775994   6.962275   0.463615
2.778945   6.961778   0.460705
2.781895   6.961280   0.461520
2.784846   6.960782   0.466088
2.787797   6.960283   0.457908
2.790748   6.959785   0.460483
2.793698   6.959285   0.460517
2.796649   6.958786   0.454200
