# A   chi2_sinNuisance   chi2_conNuisance
  1.314131E+01    1.877948E+03    3.659962E+01
  1.317132E+01    1.887231E+03    3.661309E+01
  1.320132E+01    1.896537E+03    3.662651E+01
  1.323132E+01    1.905866E+03    3.663986E+01
  1.326133E+01    1.915218E+03    3.665315E+01
  1.329133E+01    1.924594E+03    3.666638E+01
  1.332133E+01    1.933992E+03    3.667955E+01
  1.335134E+01    1.943413E+03    3.669266E+01
  1.338134E+01    1.952857E+03    3.670571E+01
  1.341134E+01    1.962324E+03    3.671870E+01
  1.344134E+01    1.971814E+03    3.673163E+01
  1.347135E+01    1.981327E+03    3.674451E+01
  1.350135E+01    1.990863E+03    3.675733E+01
  1.353135E+01    2.000422E+03    3.677009E+01
  1.356136E+01    2.010004E+03    3.678279E+01
  1.359136E+01    2.019609E+03    3.679543E+01
  1.362136E+01    2.029236E+03    3.680802E+01
  1.365137E+01    2.038887E+03    3.682056E+01
  1.368137E+01    2.048561E+03    3.683304E+01
  1.371137E+01    2.058258E+03    3.684546E+01
  1.374137E+01    2.067978E+03    3.685783E+01
  1.377138E+01    2.077720E+03    3.687014E+01
  1.380138E+01    2.087486E+03    3.688240E+01
  1.383138E+01    2.097275E+03    3.689460E+01
  1.386139E+01    2.107087E+03    3.690676E+01
  1.389139E+01    2.116921E+03    3.691885E+01
  1.392139E+01    2.126779E+03    3.693090E+01
  1.395140E+01    2.136660E+03    3.694289E+01
  1.398140E+01    2.146563E+03    3.695484E+01
  1.401140E+01    2.156490E+03    3.696673E+01
  1.404140E+01    2.166439E+03    3.697856E+01
  1.407141E+01    2.176412E+03    3.699035E+01
  1.410141E+01    2.186407E+03    3.700209E+01
  1.413141E+01    2.196426E+03    3.701377E+01
  1.416142E+01    2.206467E+03    3.702541E+01
  1.419142E+01    2.216532E+03    3.703700E+01
  1.422142E+01    2.226619E+03    3.704853E+01
  1.425143E+01    2.236730E+03    3.706002E+01
  1.428143E+01    2.246863E+03    3.707146E+01
  1.431143E+01    2.257019E+03    3.708285E+01
  1.434143E+01    2.267199E+03    3.709419E+01
  1.437144E+01    2.277401E+03    3.710548E+01
  1.440144E+01    2.287626E+03    3.711673E+01
  1.443144E+01    2.297875E+03    3.712793E+01
  1.446145E+01    2.308146E+03    3.713908E+01
  1.449145E+01    2.318440E+03    3.715019E+01
  1.452145E+01    2.328757E+03    3.716124E+01
  1.455146E+01    2.339097E+03    3.717226E+01
  1.458146E+01    2.349461E+03    3.718322E+01
  1.461146E+01    2.359847E+03    3.719414E+01
  1.464146E+01    2.370256E+03    3.720502E+01
  1.467147E+01    2.380688E+03    3.721585E+01
